Wall time,Step,Value
1735917799.9051344,0,43.540000915527344
1735917820.4323795,1,65.2699966430664
1735917841.115152,2,73.93599700927734
1735917861.6321943,3,78.21600341796875
1735917882.2448494,4,80.5739974975586
1735917902.1184611,5,82.47599792480469
1735917922.4614933,6,83.3239974975586
1735917942.722754,7,84.50599670410156
1735917963.1986992,8,85.14800262451172
1735917983.3917725,9,85.58399963378906
1735918003.773583,10,86.05000305175781
1735918024.2151577,11,86.30999755859375
1735918044.1367054,12,87.0199966430664
1735918064.1716902,13,87.08399963378906
1735918084.8611288,14,87.5
1735918105.1596272,15,87.97799682617188
1735918125.2223344,16,87.98600006103516
1735918145.7357721,17,88.09200286865234
1735918166.111852,18,88.28399658203125
1735918186.5060174,19,88.63999938964844
1735918206.4286125,20,88.61000061035156
1735918226.3626716,21,88.89800262451172
1735918246.6065476,22,88.95800018310547
1735918266.7915626,23,88.87999725341797
1735918287.2094424,24,89.27200317382812
1735918307.3117166,25,89.14199829101562
1735918327.5660505,26,89.26399993896484
1735918348.0628982,27,89.36000061035156
1735918368.3516183,28,89.47799682617188
1735918388.6015499,29,89.64199829101562
1735918409.0323977,30,89.60600280761719
1735918429.5751047,31,89.79000091552734
1735918449.8833904,32,89.71600341796875
1735918470.2148306,33,89.8479995727539
1735918490.4644446,34,90.197998046875
1735918510.8769262,35,89.93199920654297
1735918530.8129294,36,90.0
1735918550.8921041,37,90.16200256347656
1735918571.252782,38,90.02400207519531
1735918591.8637333,39,90.22000122070312
1735918612.709682,40,90.28399658203125
1735918633.5877802,41,90.35800170898438
1735918653.3593707,42,90.39199829101562
1735918673.9018216,43,90.26399993896484
1735918693.9765139,44,90.35600280761719
1735918714.018977,45,90.53800201416016
1735918734.5335658,46,90.5780029296875
1735918755.1291308,47,90.47200012207031
1735918775.4481049,48,90.2020034790039
1735918796.0060189,49,90.44000244140625
1735918816.6822894,50,90.46199798583984
1735918837.1654217,51,90.58999633789062
1735918857.0850594,52,90.65399932861328
1735918877.3223588,53,90.63600158691406
1735918897.9784718,54,90.5
1735918918.0103521,55,90.8219985961914
1735918938.4204762,56,90.88800048828125
1735918958.7776694,57,90.84200286865234
1735918979.5141373,58,90.68800354003906
1735918999.691994,59,90.7020034790039
1735919020.1320646,60,90.64399719238281
1735919040.4201787,61,91.0979995727539
1735919060.8011417,62,90.5719985961914
1735919081.6953235,63,90.77799987792969
1735919102.206447,64,90.81999969482422
1735919122.4762442,65,90.71800231933594
1735919142.9723942,66,91.12999725341797
1735919163.1853848,67,90.95800018310547
1735919183.290122,68,90.78600311279297
1735919203.9670823,69,90.96600341796875
1735919224.2284963,70,90.91999816894531
1735919244.3686755,71,90.8479995727539
1735919264.8745,72,90.947998046875
1735919285.0201812,73,90.99400329589844
1735919305.4610012,74,90.82599639892578
1735919325.5674043,75,90.74600219726562
1735919345.5586636,76,91.07599639892578
1735919365.6737592,77,90.68399810791016
1735919386.209551,78,91.13999938964844
1735919406.6307778,79,91.09400177001953
1735919427.1257486,80,91.08599853515625
1735919447.5168507,81,91.15399932861328
1735919467.6823926,82,91.00800323486328
1735919488.2448494,83,91.05799865722656
1735919508.3858414,84,91.05599975585938
1735919528.6753333,85,90.96199798583984
1735919549.1684082,86,91.00399780273438
1735919569.1819096,87,91.0459976196289
1735919589.603057,88,90.81600189208984
1735919610.0481908,89,90.84600067138672
1735919630.7069051,90,91.22200012207031
1735919650.4084198,91,91.052001953125
1735919670.5332513,92,91.26599884033203
1735919691.2581818,93,91.08399963378906
1735919711.7613573,94,91.25199890136719
1735919732.0907526,95,90.94599914550781
1735919752.226403,96,90.9280014038086
1735919772.909383,97,90.89399719238281
1735919793.7405195,98,91.28600311279297
1735919813.8985348,99,90.87999725341797
1735919833.8954,100,91.2020034790039
1735919854.201428,101,90.93199920654297
1735919874.304328,102,91.00599670410156
1735919894.849874,103,91.3239974975586
1735919915.3170874,104,90.88999938964844
1735919935.911374,105,91.31800079345703
