network:,distilbert_sst2,depth,16,Loss:CrossEntropy,Dataset:,sst2,Optimizer:,dngd,LearningRate:,3e-5,BatchSize:,32,EpochRange:,80
Epoch,Train_Loss,Train_Accuracy
1,0.5161162748472707,79.07615554796656
2,0.44264083670323934,85.15790880339723
3,0.43269290982119546,86.03988180967795
4,0.4238104776786795,86.67092310205051
5,0.44762488326805505,84.80601048270947
6,0.42043157327486613,86.76595049666662
7,0.4144867189281627,86.99461016496161
8,0.42328450631642284,86.59816775304756
9,0.4168183912290813,87.06142630180106
10,0.44527083844866716,85.05100298445412
11,0.4157999303094565,87.15645369641717
12,0.4040960489217006,88.09930362737383
13,0.4008955139657947,88.41111226595793
14,0.47424787093228227,81.1637886234391
15,0.6890945474212357,55.50639207709097
16,0.6890117649794191,55.54351215311289
17,0.6889913259662529,55.696446866323186
18,0.6889220283886599,55.53460333486763
19,0.6887704751270683,55.683083638955296
20,0.6888362688010209,55.629630729483736
21,0.6889484888867358,55.660811593342146
22,0.6888992260867229,55.55242097135815
23,0.6886108720953844,55.699416472404934
24,0.6889035279847098,55.592510653461815
25,0.6888091541809027,55.58954104738007
26,0.6886757147000692,55.663781199423894
27,0.6888601884706004,55.56281459264429
28,0.6885683659703035,55.73208213930422
29,0.6887674643704557,55.59548025954357
30,0.6886664122130696,55.68456844199617
31,0.6888152046045045,55.69347726024143
32,0.6886300056960407,55.72020371497721
33,0.6888467020773265,55.74989977579474
34,0.6888716133643216,55.721688518018084
35,0.6887329719978387,55.72911253322247
36,0.6884790028359148,55.77068701836701
37,0.6780548271260749,59.13525070899345
38,0.5938983722990312,71.90604166357333
39,0.5078702513084276,80.01009666067796
40,0.44697247769090737,84.8550089830584
41,0.42889742709678597,85.98791370324726
42,0.4083479965384386,87.43559666810198
43,0.3961356819737835,88.49277643320613
44,0.3913312492347953,88.85358357213916
45,0.39075242575443836,88.76894979880919
46,0.40200934724399995,88.06069874831104
47,0.3813347793743899,89.39553668205913
48,0.37292461395971566,89.85137121560825
49,0.39607029619522727,88.59077343390399
50,0.40990111964473813,87.50092800190055
51,0.3669385490253249,90.42302038634575
52,0.3533315074911027,91.2456012709914
53,0.3461603158938913,91.63758927378284
54,0.34154006157096944,91.96276113973481
55,0.34280412541149347,92.03551648873777
56,0.3373823872796147,92.28496339960505
57,0.3321623895202283,92.53737991655407
58,0.33215882851788664,92.53737991655407
59,0.32669073404863724,92.91748949501849
60,0.3247921619307683,93.04815216261562
61,0.3215501969543036,93.24266136097047
62,0.31867734414664695,93.35105198295446
63,0.3165949692210789,93.50398669616476
64,0.31588821264598826,93.51883472657352
65,0.3130969622568393,93.69701109147871
66,0.3124970137223495,93.76382722831816
67,0.31089421854732724,93.86182422901602
68,0.308780561766262,93.98803248749053
69,0.3076481094836056,94.07415106386138
70,0.3071796379364018,94.07860547298401
71,0.3071869850654217,94.02366776047157
72,0.30549683253017573,94.15433042806872
73,0.3046957691604904,94.11869515508768
74,0.30438181152677873,94.25826664093007
75,0.3036067990183547,94.19887451929502
76,0.3028062449993827,94.28647789870674
77,0.302530803872967,94.31320435344252
78,0.30271928876709203,94.3844748994046
79,0.3022121922349703,94.29984112607463
80,0.30162359481752626,94.37408127811845
