network:,wrn,depth,28,Loss:CrossEntropy,Dataset:,cifar10,Optimizer:,dngd,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,3.392722728002407,10.462,100.1
2,2.479154661183467,10.782,196.9
3,2.4646042789644595,10.898,293.8
4,2.416985025186368,12.288,390.0
5,2.285591092560907,16.074,486.6
6,2.206727509608354,18.084,583.8
7,2.120856095762814,20.846,681.7
8,2.205735731917574,20.252,779.1
9,2.134702953231304,21.576,875.7
10,2.0404209831486577,24.874,973.7
11,1.8303886706871755,30.47,1070.3
12,1.7870026003674169,34.314,1167.8
13,1.7114618422125307,40.808,1265.2
14,1.600810877502422,48.11,1364.1
15,1.5020291469895932,53.686,1461.2
16,1.422972811152563,57.818,1558.2
17,1.3498814889537099,61.692,1654.7
18,1.282614387514646,64.826,1751.9
19,1.2330433884849938,67.522,1850.0
20,1.186055983728765,70.15,1947.4
21,1.1458238314484697,71.948,2044.1
22,1.0954844727540565,74.312,2142.0
23,1.0519651884922896,76.338,2240.7
24,1.0152400446974712,78.082,2337.6
25,0.9885470257390796,79.132,2435.3
26,0.9579445669413222,80.684,2532.2
27,0.9351383979668093,81.662,2629.2
28,0.9108132995912791,82.942,2726.6
29,0.8904419167877158,83.75,2824.2
30,0.8713220487470212,84.526,2922.2
31,0.7768783022070784,88.45,3020.6
32,0.7571222937625387,89.372,3118.6
33,0.7481208029000656,89.852,3217.3
34,0.7420538392518182,90.07,3315.0
35,0.736644968809679,90.098,3413.4
36,0.7295318895288746,90.476,3511.5
37,0.7258465572086441,90.724,3611.3
38,0.7197840350973027,90.996,3710.5
39,0.716316679249639,91.008,3808.0
40,0.7092627736613574,91.42,3905.7
41,0.7080561828125468,91.392,4002.7
42,0.7046275725754936,91.594,4100.4
43,0.6973761519812562,91.924,4199.6
44,0.6946923010184637,92.052,4298.0
45,0.6905662056125338,92.218,4395.4
46,0.6848399783949108,92.522,4493.0
47,0.6817011115191233,92.678,4590.6
48,0.6778690586309604,92.786,4688.0
49,0.6762743197438662,92.742,4786.0
50,0.6695888386967846,93.05,4882.8
51,0.6538601209745383,94.05,4979.3
52,0.6501564671621298,94.094,5077.6
53,0.6484015472709675,94.09,5174.3
54,0.6458478739194553,94.234,5269.8
55,0.6417735815048218,94.434,5367.3
56,0.643865487917,94.268,5464.1
57,0.6432983786858562,94.414,5560.7
58,0.6412427637278272,94.478,5657.1
59,0.6405478330219493,94.478,5754.3
60,0.6403615912208167,94.504,5849.5
61,0.6412750324019996,94.458,5944.6
62,0.6396442683761382,94.474,6040.7
63,0.6383944922091102,94.596,6138.5
64,0.638142202516346,94.536,6236.8
65,0.6380039807170859,94.482,6333.2
66,0.6364297138150695,94.632,6429.4
67,0.6334317532341803,94.752,6524.7
68,0.6358595656616913,94.616,6622.7
69,0.6354663147950721,94.836,6719.0
70,0.633520420097634,94.702,6814.6
71,0.6342814962577332,94.736,6911.8
72,0.6315419695261494,94.952,7009.2
73,0.6321725398683182,94.85,7105.3
74,0.630837467625318,94.762,7202.2
75,0.6296572461152625,94.934,7297.6
76,0.6297658469975757,94.904,7392.7
77,0.6282748496136092,95.08,7488.3
78,0.6299352917219977,94.938,7583.3
79,0.6274906081311843,95.034,7678.6
80,0.6289640832740022,95.012,7774.0
81,0.6254006831542306,95.112,7869.6
82,0.6273152913583819,95.076,7965.0
83,0.6257069754173689,95.026,8059.7
84,0.6235127595379529,95.244,8155.4
85,0.6235564334313278,95.138,8250.8
86,0.6245369844119567,95.09,8346.0
87,0.6230917537913603,95.226,8441.5
88,0.6221829210705769,95.316,8536.6
89,0.6210759765351824,95.264,8631.4
90,0.6211679605266932,95.34,8727.3
91,0.6180673392532426,95.526,8822.3
92,0.6204302928331867,95.224,8916.7
93,0.6170952224060703,95.576,9012.0
94,0.6170275961346638,95.502,9106.7
95,0.619138126787932,95.396,9202.3
96,0.6188653597746359,95.41,9298.8
97,0.6168699820938013,95.604,9393.7
98,0.6155647489116015,95.532,9488.8
99,0.6158979018326001,95.45,9583.6
100,0.6150865233157907,95.57,9678.8
101,0.6135589613024232,95.616,9773.8
102,0.6136248796187398,95.636,9868.8
103,0.6136309538046112,95.698,9964.6
104,0.611731929090017,95.758,10059.4
105,0.6124248593054769,95.716,10154.7
106,0.6083235129371019,95.86,10249.7
107,0.6115095696180982,95.808,10344.9
108,0.6111559495901513,95.79,10439.7
109,0.612040038913717,95.798,10535.3
110,0.6126374445303017,95.664,10631.0
111,0.6110555332944826,95.704,10726.0
112,0.6128701406061802,95.658,10821.4
113,0.610133743499551,95.804,10917.1
114,0.6120056197466448,95.708,11013.3
115,0.6113292667871851,95.772,11109.3
116,0.6104753778108856,95.832,11204.3
117,0.6118556346429889,95.75,11299.7
118,0.6126745053569375,95.684,11395.6
119,0.6110764283048528,95.792,11490.2
120,0.6127242500824697,95.674,11585.0
121,0.61114139264197,95.828,11680.9
122,0.6101990424458633,95.71,11775.9
123,0.6099168449411612,95.832,11870.7
124,0.6113376614382809,95.764,11966.6
125,0.6109678245261502,95.752,12061.4
126,0.6109428541434695,95.714,12156.7
127,0.6114799224812052,95.802,12251.6
128,0.6130598716418761,95.6,12346.9
129,0.6109575732894565,95.738,12442.3
130,0.6102746354649439,95.75,12537.3
131,0.6116353686508316,95.862,12632.7
132,0.6085737553398932,95.96,12728.0
133,0.6096672805983697,95.866,12823.4
134,0.6074477505805852,95.932,12918.9
135,0.6088136666266205,95.948,13013.6
136,0.608069095922553,95.854,13109.2
137,0.6106819364116015,95.804,13204.8
138,0.6105857994550329,95.664,13300.3
139,0.6096830991527918,95.844,13395.9
140,0.6105180353764683,95.676,13490.8
141,0.6100154284321134,95.778,13586.4
142,0.6095109127671517,95.758,13681.3
143,0.6104188915103903,95.758,13776.4
144,0.6094314361472264,95.836,13871.4
145,0.6098526271102983,95.772,13966.2
146,0.6069107997752822,96.002,14061.2
147,0.6098046863780302,95.796,14156.4
148,0.6079027161878698,95.944,14251.2
149,0.6101804558578354,95.794,14347.1
150,0.6093664129676721,95.908,14442.3
151,0.6081682974115357,95.896,14537.1
152,0.6101566874767508,95.794,14631.9
153,0.6075271250646742,95.896,14727.4
154,0.6079448632267125,95.858,14822.4
155,0.6087779831093596,95.794,14918.0
156,0.6098964353046759,95.792,15014.5
157,0.6089080003521327,95.91,15110.6
158,0.608452814466813,95.882,15206.9
159,0.6089288417030784,95.884,15303.6
160,0.6089956283264453,95.878,15401.3
161,0.609600136042251,95.804,15499.4
162,0.6088871295799685,95.848,15596.3
163,0.6069183451745211,95.952,15693.6
164,0.6097483872757543,95.774,15790.6
165,0.6078289632906999,95.922,15888.8
166,0.6070940011297651,95.962,15987.0
167,0.6085095801926634,95.836,16083.1
168,0.6096333190608207,95.808,16179.4
169,0.6081606367664874,95.902,16274.7
170,0.6090491738770624,95.828,16370.1
171,0.6081379978248226,95.902,16465.1
172,0.6076870827418764,95.962,16560.7
173,0.6081030521246479,95.906,16655.7
174,0.607453739551632,95.908,16750.9
175,0.6087495753222414,95.958,16847.6
176,0.6060793674205576,96.028,16945.5
177,0.6066881694147349,95.988,17042.4
178,0.6090812088583436,95.874,17140.1
179,0.6080190636922637,95.858,17236.7
180,0.6065389052071535,95.912,17333.2
181,0.6080380364147293,95.914,17430.4
182,0.6093824841177372,95.906,17527.1
183,0.6078790284483634,95.948,17624.2
184,0.6094147020288746,95.874,17722.4
185,0.6078848555264875,95.856,17819.3
186,0.6092306771851561,95.794,17914.8
187,0.6062650031141003,95.958,18010.4
188,0.6066001429582191,95.992,18106.8
189,0.6068005470363685,95.942,18203.0
190,0.6080556897556081,95.964,18300.2
